"Fecha aplicación","Año","Cod_Territorio","Nom_Territorio","Cantidad_dosis_aplicadas","fecha_corte"
"2021-02-23","2021","52","Nariño","219","2023-02-28"
"2021-02-23","2021","54","Norte de Santander","162","2023-02-28"
"2021-02-23","2021","86","Putumayo","48","2023-02-28"
"2021-02-23","2021","88","San Andrés y Providencia","42","2023-02-28"
"2021-02-23","2021","68","Santander","19","2023-02-28"
"2021-02-23","2021","76","Valle del Cauca","89","2023-02-28"
"2021-02-23","2021","99","Vichada","24","2023-02-28"
"2021-02-24","2021","91","Amazonas","1.783","2023-02-28"
"2021-02-24","2021","08001","Barranquilla","14","2023-02-28"
"2021-02-24","2021","11","Bogotá","629","2023-02-28"
"2021-02-24","2021","13001","Cartagena","30","2023-02-28"
"2021-02-24","2021","15","Boyacá","2","2023-02-28"
"2021-02-24","2021","18","Caquetá","25","2023-02-28"
"2021-02-24","2021","85","Casanare","60","2023-02-28"
"2021-02-24","2021","20","Cesar","130","2023-02-28"
"2021-02-24","2021","23","Córdoba","2","2023-02-28"
"2021-02-24","2021","25","Cundinamarca","1.244","2023-02-28"
"2021-02-24","2021","94","Guainía","154","2023-02-28"
"2021-02-24","2021","41","Huila","149","2023-02-28"
"2021-02-24","2021","50","Meta","209","2023-02-28"
"2021-02-24","2021","52","Nariño","135","2023-02-28"
"2021-02-24","2021","86","Putumayo","36","2023-02-28"
"2021-02-24","2021","97","Vaupés","175","2023-02-28"
"2021-02-25","2021","91","Amazonas","2.350","2023-02-28"
"2021-02-25","2021","05","Antioquia","650","2023-02-28"
"2021-02-25","2021","08001","Barranquilla","43","2023-02-28"
"2021-02-25","2021","11","Bogotá","11.333","2023-02-28"
"2021-02-25","2021","15","Boyacá","393","2023-02-28"
"2021-02-25","2021","85","Casanare","42","2023-02-28"
"2021-02-25","2021","20","Cesar","24","2023-02-28"
"2021-02-25","2021","25","Cundinamarca","2.709","2023-02-28"
"2021-02-25","2021","94","Guainía","1.126","2023-02-28"
"2021-02-25","2021","41","Huila","216","2023-02-28"
"2021-02-25","2021","52","Nariño","19","2023-02-28"
"2021-02-25","2021","54","Norte de Santander","12","2023-02-28"
"2021-02-25","2021","86","Putumayo","24","2023-02-28"
"2021-02-25","2021","63","Quindío","56","2023-02-28"
"2021-02-25","2021","76","Valle del Cauca","1.873","2023-02-28"
"2021-02-25","2021","97","Vaupés","181","2023-02-28"
"2021-02-26","2021","91","Amazonas","2.587","2023-02-28"
"2021-02-26","2021","05","Antioquia","2.293","2023-02-28"
"2021-02-26","2021","81","Arauca","116","2023-02-28"
"2021-02-26","2021","08","Atlántico","240","2023-02-28"
"2021-02-26","2021","08001","Barranquilla","57","2023-02-28"
"2021-02-26","2021","11","Bogotá","10.055","2023-02-28"
"2021-02-26","2021","13001","Cartagena","73","2023-02-28"
"2021-02-26","2021","15","Boyacá","933","2023-02-28"
"2021-02-26","2021","25","Cundinamarca","3.277","2023-02-28"
"2021-02-26","2021","94","Guainía","1.092","2023-02-28"
"2021-02-26","2021","41","Huila","186","2023-02-28"
"2021-02-26","2021","44","La Guajira","86","2023-02-28"
"2021-02-26","2021","52","Nariño","145","2023-02-28"
"2021-02-26","2021","63","Quindío","484","2023-02-28"
"2021-02-26","2021","76","Valle del Cauca","1.879","2023-02-28"
"2021-02-26","2021","97","Vaupés","213","2023-02-28"
"2021-02-26","2021","99","Vichada","18","2023-02-28"
"2021-02-27","2021","91","Amazonas","1.309","2023-02-28"
"2021-02-27","2021","05","Antioquia","4.984","2023-02-28"
"2021-02-27","2021","81","Arauca","98","2023-02-28"
"2021-02-27","2021","08","Atlántico","1.130","2023-02-28"
"2021-02-27","2021","08001","Barranquilla","1.026","2023-02-28"
"2021-02-27","2021","11","Bogotá","2.965","2023-02-28"
"2021-02-27","2021","13001","Cartagena","736","2023-02-28"
"2021-02-27","2021","15","Boyacá","1.013","2023-02-28"
"2021-02-27","2021","17","Caldas","2.132","2023-02-28"
"2021-02-27","2021","23","Córdoba","76","2023-02-28"
"2021-02-27","2021","25","Cundinamarca","1.988","2023-02-28"
"2021-02-27","2021","94","Guainía","904","2023-02-28"
"2021-02-27","2021","41","Huila","228","2023-02-28"
"2021-02-27","2021","44","La Guajira","562","2023-02-28"
"2021-02-27","2021","50","Meta","605","2023-02-28"
"2021-02-27","2021","52","Nariño","1.520","2023-02-28"
"2021-02-27","2021","54","Norte de Santander","28","2023-02-28"
"2021-02-27","2021","63","Quindío","440","2023-02-28"
"2021-02-27","2021","66","Risaralda","12","2023-02-28"
"2021-02-27","2021","73","Tolima","982","2023-02-28"
"2021-02-27","2021","76","Valle del Cauca","2.451","2023-02-28"
"2021-02-27","2021","97","Vaupés","131","2023-02-28"
"2021-02-27","2021","99","Vichada","23","2023-02-28"
"2021-02-28","2021","91","Amazonas","642","2023-02-28"
"2021-02-28","2021","05","Antioquia","2.748","2023-02-28"
"2021-02-28","2021","81","Arauca","7","2023-02-28"
"2021-02-28","2021","08","Atlántico","748","2023-02-28"
"2021-02-28","2021","08001","Barranquilla","834","2023-02-28"
"2021-02-28","2021","11","Bogotá","1.078","2023-02-28"
"2021-02-28","2021","13001","Cartagena","627","2023-02-28"
"2021-02-28","2021","15","Boyacá","542","2023-02-28"
"2021-02-28","2021","17","Caldas","976","2023-02-28"
"2021-02-28","2021","20","Cesar","179","2023-02-28"
"2021-02-28","2021","23","Córdoba","51","2023-02-28"
"2021-02-28","2021","25","Cundinamarca","2","2023-02-28"
"2021-02-28","2021","41","Huila","180","2023-02-28"
"2021-02-28","2021","44","La Guajira","20","2023-02-28"
"2021-02-28","2021","47","Magdalena","425","2023-02-28"
"2021-02-28","2021","52","Nariño","897","2023-02-28"
"2021-02-28","2021","54","Norte de Santander","72","2023-02-28"
"2021-02-28","2021","63","Quindío","150","2023-02-28"
"2021-02-28","2021","66","Risaralda","134","2023-02-28"
"2021-02-28","2021","73","Tolima","1.292","2023-02-28"
"2021-02-28","2021","76","Valle del Cauca","1.316","2023-02-28"
"2021-02-28","2021","76109","Buenaventura","21","2023-02-28"
"2021-02-28","2021","99","Vichada","57","2023-02-28"
"2021-03-01","2021","91","Amazonas","636","2023-02-28"
"2021-03-01","2021","05","Antioquia","2.867","2023-02-28"
"2021-03-01","2021","81","Arauca","3","2023-02-28"
"2021-03-01","2021","08","Atlántico","492","2023-02-28"
"2021-03-01","2021","08001","Barranquilla","614","2023-02-28"
"2021-03-01","2021","11","Bogotá","793","2023-02-28"
"2021-03-01","2021","13","Bolívar","382","2023-02-28"
"2021-03-01","2021","13001","Cartagena","440","2023-02-28"
"2021-03-01","2021","15","Boyacá","797","2023-02-28"
"2021-03-01","2021","17","Caldas","26","2023-02-28"
"2021-03-01","2021","18","Caquetá","46","2023-02-28"
"2021-03-01","2021","85","Casanare","117","2023-02-28"
"2021-03-01","2021","19","Cauca","42","2023-02-28"
"2021-03-01","2021","20","Cesar","858","2023-02-28"
"2021-03-01","2021","23","Córdoba","301","2023-02-28"
"2021-03-01","2021","25","Cundinamarca","730","2023-02-28"
"2021-03-01","2021","94","Guainía","740","2023-02-28"
"2021-03-01","2021","95","Guaviare","97","2023-02-28"
"2021-03-01","2021","41","Huila","252","2023-02-28"
"2021-03-01","2021","44","La Guajira","147","2023-02-28"
"2021-03-01","2021","47","Magdalena","422","2023-02-28"
"2021-03-01","2021","50","Meta","393","2023-02-28"
"2021-03-01","2021","52","Nariño","1.151","2023-02-28"
"2021-03-01","2021","54","Norte de Santander","126","2023-02-28"
"2021-03-01","2021","86","Putumayo","83","2023-02-28"
"2021-03-01","2021","63","Quindío","352","2023-02-28"
"2021-03-01","2021","66","Risaralda","138","2023-02-28"
"2021-03-01","2021","88","San Andrés y Providencia","13","2023-02-28"
"2021-03-01","2021","68","Santander","738","2023-02-28"
"2021-03-01","2021","70","Sucre","220","2023-02-28"
"2021-03-01","2021","73","Tolima","546","2023-02-28"
"2021-03-01","2021","76","Valle del Cauca","2.075","2023-02-28"
"2021-03-01","2021","76109","Buenaventura","132","2023-02-28"
"2021-03-01","2021","97","Vaupés","415","2023-02-28"
"2021-03-01","2021","99","Vichada","2","2023-02-28"
"2021-03-02","2021","91","Amazonas","619","2023-02-28"
"2021-03-02","2021","05","Antioquia","2.966","2023-02-28"
"2021-03-02","2021","81","Arauca","56","2023-02-28"
"2021-03-02","2021","08","Atlántico","225","2023-02-28"
"2021-03-02","2021","08001","Barranquilla","573","2023-02-28"
"2021-03-02","2021","11","Bogotá","308","2023-02-28"
"2021-03-02","2021","13","Bolívar","816","2023-02-28"
"2021-03-02","2021","13001","Cartagena","268","2023-02-28"
"2021-03-02","2021","15","Boyacá","453","2023-02-28"
"2021-03-02","2021","17","Caldas","223","2023-02-28"
"2021-03-02","2021","18","Caquetá","299","2023-02-28"
"2021-03-02","2021","85","Casanare","469","2023-02-28"
"2021-03-02","2021","19","Cauca","665","2023-02-28"
"2021-03-02","2021","20","Cesar","661","2023-02-28"
"2021-03-02","2021","27","Chocó","185","2023-02-28"
"2021-03-02","2021","23","Córdoba","804","2023-02-28"
"2021-03-02","2021","25","Cundinamarca","676","2023-02-28"
"2021-03-02","2021","94","Guainía","487","2023-02-28"
"2021-03-02","2021","95","Guaviare","70","2023-02-28"
"2021-03-02","2021","41","Huila","284","2023-02-28"
"2021-03-02","2021","44","La Guajira","317","2023-02-28"
"2021-03-02","2021","47","Magdalena","121","2023-02-28"
"2021-03-02","2021","47001","Santa Marta","460","2023-02-28"
"2021-03-02","2021","50","Meta","345","2023-02-28"
"2021-03-02","2021","52","Nariño","1.339","2023-02-28"
"2021-03-02","2021","54","Norte de Santander","326","2023-02-28"
"2021-03-02","2021","86","Putumayo","120","2023-02-28"
"2021-03-02","2021","63","Quindío","505","2023-02-28"
"2021-03-02","2021","66","Risaralda","565","2023-02-28"
"2021-03-02","2021","88","San Andrés y Providencia","16","2023-02-28"
"2021-03-02","2021","68","Santander","1.734","2023-02-28"
"2021-03-02","2021","70","Sucre","638","2023-02-28"
"2021-03-02","2021","73","Tolima","493","2023-02-28"
"2021-03-02","2021","76","Valle del Cauca","2.682","2023-02-28"
"2021-03-02","2021","76109","Buenaventura","13","2023-02-28"
"2021-03-02","2021","97","Vaupés","358","2023-02-28"
"2021-03-02","2021","99","Vichada","5","2023-02-28"
"2021-03-03","2021","91","Amazonas","357","2023-02-28"
"2021-03-03","2021","05","Antioquia","1.778","2023-02-28"
"2021-03-03","2021","81","Arauca","22","2023-02-28"
"2021-03-03","2021","08","Atlántico","303","2023-02-28"
"2021-03-03","2021","08001","Barranquilla","318","2023-02-28"
"2021-03-03","2021","11","Bogotá","5.183","2023-02-28"
"2021-03-03","2021","13","Bolívar","945","2023-02-28"
"2021-03-03","2021","13001","Cartagena","286","2023-02-28"
"2021-03-03","2021","15","Boyacá","242","2023-02-28"
"2021-03-03","2021","17","Caldas","59","2023-02-28"
"2021-03-03","2021","18","Caquetá","309","2023-02-28"
"2021-03-03","2021","85","Casanare","411","2023-02-28"
"2021-03-03","2021","19","Cauca","1.246","2023-02-28"
"2021-03-03","2021","20","Cesar","150","2023-02-28"
"2021-03-03","2021","27","Chocó","155","2023-02-28"
"2021-03-03","2021","23","Córdoba","1.074","2023-02-28"
"2021-03-03","2021","25","Cundinamarca","437","2023-02-28"
"2021-03-03","2021","94","Guainía","297","2023-02-28"
"2021-03-03","2021","95","Guaviare","73","2023-02-28"
"2021-03-03","2021","41","Huila","778","2023-02-28"
"2021-03-03","2021","44","La Guajira","226","2023-02-28"
"2021-03-03","2021","47","Magdalena","16","2023-02-28"
"2021-03-03","2021","47001","Santa Marta","90","2023-02-28"
"2021-03-03","2021","50","Meta","103","2023-02-28"
"2021-03-03","2021","52","Nariño","1.078","2023-02-28"
"2021-03-03","2021","54","Norte de Santander","692","2023-02-28"
"2021-03-03","2021","86","Putumayo","227","2023-02-28"
"2021-03-03","2021","63","Quindío","300","2023-02-28"
"2021-03-03","2021","66","Risaralda","722","2023-02-28"
"2021-03-03","2021","88","San Andrés y Providencia","41","2023-02-28"
"2021-03-03","2021","68","Santander","1.254","2023-02-28"
"2021-03-03","2021","70","Sucre","773","2023-02-28"
"2021-03-03","2021","73","Tolima","221","2023-02-28"
"2021-03-03","2021","76","Valle del Cauca","3.514","2023-02-28"
"2021-03-03","2021","76109","Buenaventura","41","2023-02-28"
"2021-03-03","2021","97","Vaupés","478","2023-02-28"
"2021-03-04","2021","91","Amazonas","2.056","2023-02-28"
"2021-03-04","2021","05","Antioquia","2.533","2023-02-28"
"2021-03-04","2021","81","Arauca","77","2023-02-28"
"2021-03-04","2021","08","Atlántico","1","2023-02-28"
"2021-03-04","2021","08001","Barranquilla","183","2023-02-28"
